id;id_control;nombre;descripcion
1;Electrónica Futuro Desarrollador;transmit Genérico;Argelia metrics
2;Ladrillo;application;Baht
3;transmitting;Multi Pelota;Guapa invoice
4;Algodón models Bedfordshire;Barranco Optimización;Canarias generating
5;matrix Bicicleta transmitting;Loan Genérico;conglomeración navigating
6;Gris soporte maximize;cross-platform;Zapatos Avon Salud
7;Futuro a;Cataluña Monte Bricolaje;Balboa
8;payment Hecho;Account Savings;Amigable Verde
9;Burundi;Producto Bajada;Account
10;online Clonado;Investigación;Bebes index overriding
